movie_title,production_date,genres,runtime_minutes,director_name,director_professions,director_birthYear,director_deathYear,movie_averageRating,movie_numerOfVotes,approval_Index,Production budget $,Domestic gross $,Worldwide gross $
Hop,1/4/2011,"Adventure,Animation,Comedy",95,Tim Hill,"writer,producer,director",1958,alive,5.4,35057,4.02586641,63000000,108085305,188494082
American Assassin,14-09-2017,"Action,Thriller",111,Michael Cuesta,"producer,director,writer",1963,alive,6.2,84441,5.042826303,63000000,36249674,68310140
Wyatt Earp,24-06-1994,"Action,Adventure,Biography",191,Lawrence Kasdan,"writer,producer,director",1949,alive,6.7,52300,5.223984697,63000000,25052000,25052000
Clear and Present Danger,3/8/1994,"Action,Crime,Drama",141,Phillip Noyce,"producer,director,writer",1950,alive,6.9,102045,5.72319403,62000000,122012656,207500000
U-571,21-04-2000,"Action,War",116,Jonathan Mostow,"director,producer,writer",1961,alive,6.6,83430,5.370825972,62000000,77086030,127630030
The American President,17-11-1995,"Comedy,Drama,Romance",114,Rob Reiner,"actor,writer,producer",1947,alive,6.8,58410,5.359201907,62000000,60022813,107822813
The Hateful Eight,25-12-2015,"Crime,Drama,Mystery",168,Quentin Tarantino,"writer,actor,producer",1963,alive,7.8,610157,7.513173956,62000000,54117416,151813358
The Love Guru,20-06-2008,"Comedy,Romance,Sport",87,Marco Schnabel,"producer,writer,editorial_department",\N,alive,3.8,53347,2.911338498,62000000,32235793,40159017
3000 Miles to Graceland,23-02-2001,"Action,Comedy,Crime",125,Demian Lichtenstein,"producer,director,writer",\N,alive,5.9,47387,4.541661963,62000000,15738632,18708848
Gone Girl,3/10/2014,"Drama,Mystery,Thriller",149,David Fincher,"producer,director,actor",1962,alive,8.1,991453,8.096523602,61000000,167767189,367160781
Maze Runner: The Scorch Trials,9/9/2015,"Action,Adventure,Sci-Fi",131,Wes Ball,"art_department,director,visual_effects",1980,alive,6.3,255525,5.639532417,61000000,81697192,310566162
2 Guns,2/8/2013,"Action,Thriller",109,Baltasar Kormákur,"producer,director,writer",1966,alive,6.7,214520,5.919742031,61000000,75612460,132493015
Maze Runner: The Death Cure,17-01-2018,"Action,Adventure,Sci-Fi",143,Wes Ball,"art_department,director,visual_effects",1980,alive,6.2,144662,5.288401651,61000000,58032443,265878536
Meet the Fockers,22-12-2004,"Comedy,Romance",115,Jay Roach,"producer,director,writer",1957,alive,6.3,274885,5.673384704,60000000,279167575,516567575
The Lego Movie,6/2/2014,"Action,Adventure,Animation",100,-,-,-,-,7.7,360581,7.11716742,60000000,257784718,468084718
Wild Hogs,2/3/2007,"Action,Adventure,Comedy",100,Walt Becker,"director,producer,writer",1968,alive,5.8,120096,4.859290216,60000000,168213584,253555383
Marley & Me,25-12-2008,"Drama,Family",111,David Frankel,"producer,director,writer",1959,alive,7,160597,6.041605459,60000000,143153751,247812011
The Green Mile,10/12/1999,"Crime,Drama,Fantasy",189,Frank Darabont,"writer,producer,director",1959,alive,8.6,1310761,8.78110393,60000000,136801374,290701374
The Truman Show,5/6/1998,"Comedy,Drama",103,Peter Weir,"director,writer,producer",1944,alive,8.2,1092271,8.256534962,60000000,125618201,264118201
Sully,8/9/2016,"Biography,Drama",96,Clint Eastwood,"actor,producer,director",1930,alive,7.4,276982,6.691131121,60000000,125070033,238524556
The Bourne Identity,14-06-2002,"Action,Mystery,Thriller",119,Doug Liman,"producer,director,miscellaneous",1965,alive,7.9,551664,7.552610781,60000000,121468960,214357371
Couples Retreat,8/10/2009,Comedy,113,Peter Billingsley,"producer,actor,director",1971,alive,5.5,110267,4.566576032,60000000,109205660,172450423
The Italian Job,30-05-2003,"Action,Crime,Thriller",111,F. Gary Gray,"director,actor,producer",1969,alive,7,372896,6.475463834,60000000,106126012,176262839
Daddy Day Care,9/5/2003,"Comedy,Family",92,Steve Carr,"director,producer",\N,alive,5.6,70349,4.466824657,60000000,104148781,164285587
The Prince of Egypt,18-12-1998,"Adventure,Animation,Drama",99,-,-,-,-,7.2,135302,6.127197671,60000000,101413188,218613188
Collateral,6/8/2004,"Action,Crime,Drama",120,Michael Mann,"producer,writer,director",1943,alive,7.5,410076,6.999859269,60000000,100170152,217602967
Cats & Dogs,4/7/2001,"Action,Adventure,Comedy",87,Lawrence Guterman,"director,producer,writer",\N,alive,5.1,60482,3.999524342,60000000,93375151,200700000
Two Weeks Notice,20-12-2002,"Comedy,Romance",101,Marc Lawrence,"writer,producer,miscellaneous",1959,alive,6.1,120421,5.118664458,60000000,93354918,199043309
Antz,2/10/1998,"Adventure,Animation,Comedy",83,-,-,-,-,6.5,157535,5.591439556,60000000,90757863,152457863
The Scorpion King,18-04-2002,"Action,Adventure,Fantasy",92,Chuck Russell,"director,producer,writer",1958,alive,5.5,140521,4.664687494,60000000,90580000,165890634
Starsky & Hutch,5/3/2004,"Comedy,Crime",101,Todd Phillips,"producer,director,writer",1970,alive,6.1,149534,5.21584481,60000000,88200225,170200225
Days of Thunder,27-06-1990,"Action,Drama,Sport",107,Tony Scott,"producer,director,actor",1944,2012,6.1,90876,4.992325879,60000000,82670733,157670733
Cheaper by the Dozen 2,21-12-2005,"Adventure,Comedy,Family",94,Adam Shankman,"producer,miscellaneous,director",1964,alive,5.5,60082,4.320866902,60000000,82571173,135015330
Eat Pray Love,13-08-2010,"Biography,Drama,Romance",133,Ryan Murphy,"producer,writer,music_department",1965,alive,5.8,99370,4.778448933,60000000,80574010,206598789
Jack Reacher,20-12-2012,"Action,Mystery,Thriller",130,Christopher McQuarrie,"writer,producer,director",1968,alive,7,345818,6.436637626,60000000,80070736,217370736
Man on Fire,23-04-2004,"Action,Crime,Drama",146,Tony Scott,"producer,director,actor",1944,2012,7.7,367480,7.12790442,60000000,77906816,130968579
The Family Man,22-12-2000,"Comedy,Drama,Fantasy",125,Brett Ratner,"producer,director,music_department",1969,alive,6.8,113080,5.689711345,60000000,75764085,124715863
Contagion,9/9/2011,"Drama,Thriller",106,Steven Soderbergh,"producer,director,cinematographer",1963,alive,6.8,306227,6.188136398,60000000,75658097,137551591
Any Given Sunday,22-12-1999,"Drama,Sport",162,Oliver Stone,"director,producer,writer",1946,alive,6.9,121661,5.812454581,60000000,75530832,100230832
The Horse Whisperer,15-05-1998,"Drama,Romance,Western",169,Robert Redford,"producer,actor,director",1936,alive,6.7,41969,5.115502902,60000000,75383563,186883563
Coraline,6/2/2009,"Animation,Drama,Family",100,Henry Selick,"director,animation_department,writer",1952,alive,7.7,235965,6.876940673,60000000,75286229,126037057
Ladder 49,1/10/2004,"Action,Drama,Thriller",115,Jay Russell,"director,producer,writer",\N,alive,6.5,58278,5.115868561,60000000,74541707,102332848
Deep Blue Sea,28-07-1999,"Action,Adventure,Sci-Fi",105,Renny Harlin,"producer,director,writer",1959,alive,5.9,135788,4.998652109,60000000,73648228,165048228
Ticket to Paradise,8/9/2022,"Comedy,Romance",104,Ol Parker,"writer,director,producer",1969,alive,6.2,38898,4.689247677,60000000,68275985,172072232
Kangaroo Jack,17-01-2003,"Action,Adventure,Comedy",89,David McNally,"writer,producer,director",\N,alive,4.5,32312,3.305921401,60000000,66723216,90558582
The Happening,13-06-2008,"Adventure,Drama,Sci-Fi",91,M. Night Shyamalan,"producer,director,writer",1970,alive,5,209468,4.37550161,60000000,64506874,162778384
London Has Fallen,2/3/2016,"Action,Thriller",99,Babak Najafi,"director,writer,editor",1975,alive,5.9,161272,5.073315047,60000000,62524260,195194085
Rules of Engagement,7/4/2000,"Drama,Thriller,War",128,William Friedkin,"director,writer,producer",1935,alive,6.4,48598,4.949602922,60000000,61322858,71719931
The Shaggy Dog,10/3/2006,"Comedy,Family,Fantasy",98,Brian Robbins,"producer,actor,writer",1963,alive,4.4,19500,3.066035245,60000000,61123569,87123569
Jingle All the Way,22-11-1996,"Adventure,Comedy,Family",89,Brian Levant,"producer,writer,director",1952,alive,5.7,108355,4.730091433,60000000,60592389,129832389
Hellboy,2/4/2004,"Action,Adventure,Fantasy",122,Guillermo del Toro,"writer,producer,director",1964,alive,6.8,333791,6.23125737,60000000,59623958,99823958
Jack Reacher: Never Go Back,20-10-2016,"Action,Crime,Drama",118,Edward Zwick,"producer,writer,director",1952,alive,6.1,162248,5.252468554,60000000,58697076,159946489
Baywatch,25-05-2017,"Action,Comedy,Crime",116,Seth Gordon,"producer,director,miscellaneous",\N,alive,5.5,190038,4.786841954,60000000,58060186,175863783
U.S. Marshals,6/3/1998,"Action,Crime,Thriller",131,Stuart Baird,"editor,editorial_department,director",1947,alive,6.5,107886,5.410391731,60000000,57833603,57833603
A Civil Action,25-12-1998,Drama,115,Steven Zaillian,"writer,producer,director",1953,alive,6.6,29858,4.871849671,60000000,56709981,56709981
Joy,24-12-2015,"Biography,Drama",124,David O. Russell,"producer,director,writer",1958,alive,6.6,138804,5.618020818,60000000,56451232,101134059
ParaNorman,3/8/2012,"Adventure,Animation,Comedy",92,-,-,-,-,7,104558,5.820579005,60000000,56003051,108119662
The Jackal,14-11-1997,"Action,Crime,Drama",124,Michael Caton-Jones,"director,producer,actor",1957,alive,6.4,119082,5.371620241,60000000,54956941,159356941
Paycheck,25-12-2003,"Action,Mystery,Sci-Fi",119,John Woo,"director,producer,writer",1946,alive,6.3,109947,5.248633261,60000000,53789313,98819789
Up Close & Personal,1/3/1996,"Drama,Romance",124,Jon Avnet,"producer,director,writer",1949,alive,6.1,14808,4.178040624,60000000,51045801,100645801
The Tale of Despereaux,19-12-2008,"Adventure,Animation,Comedy",93,-,-,-,-,6.1,38681,4.608977605,60000000,50877145,90482317
The Boxtrolls,19-09-2014,"Adventure,Animation,Comedy",96,-,-,-,-,6.8,59035,5.364526903,60000000,50837305,111898741
The Tuxedo,27-09-2002,"Action,Comedy,Sci-Fi",98,Kevin Donovan,"director,assistant_director,producer",\N,alive,5.4,85354,4.379401583,60000000,50586000,104429625
Jack Ryan: Shadow Recruit,17-01-2014,"Action,Drama,Thriller",105,Kenneth Branagh,"actor,producer,director",1960,alive,6.2,133885,5.253085874,60000000,50577412,131377412
Under Siege 2: Dark Territory,14-07-1995,"Action,Adventure,Thriller",100,Geoff Murphy,"director,writer,actor",1938,2018,5.5,47839,4.228656705,60000000,50024083,104324083
Vice,21-12-2018,"Biography,Comedy,Drama",132,Adam McKay,"producer,writer,director",1968,alive,7.2,150683,6.18423431,60000000,47836282,70893782
Alien: Resurrection,26-11-1997,"Action,Horror,Sci-Fi",109,Jean-Pierre Jeunet,"director,writer,producer",1953,alive,6.2,250980,5.539736705,60000000,47795018,160700000
Shooter,23-03-2007,"Action,Drama,Thriller",124,Antoine Fuqua,"director,producer,actor",1965,alive,7.1,337950,6.518450385,60000000,47003582,95538560
Practical Magic,16-10-1998,"Comedy,Drama,Fantasy",104,Griffin Dunne,"actor,director,producer",1955,alive,6.2,85074,5.04623313,60000000,46850558,68336997
Gangster Squad,9/1/2013,"Action,Crime,Drama",113,Ruben Fleischer,"producer,director,writer",1974,alive,6.7,217482,5.926501954,60000000,46000903,104100903
Smurfs: The Lost Village,24-03-2017,"Adventure,Animation,Comedy",90,Kelly Asbury,"art_department,animation_department,director",1960,2020,6,22262,4.287372439,60000000,45020282,197578586
First Man,10/10/2018,"Biography,Drama,History",141,Damien Chazelle,"writer,producer,director",1985,alive,7.3,191230,6.399947161,60000000,44936545,105523737
Year One,19-06-2009,Comedy,97,Harold Ramis,"writer,actor,producer",1944,2014,4.9,99624,4.017429618,60000000,43337279,57604723
Edge of Darkness,29-01-2010,"Action,Drama,Thriller",117,Martin Campbell,"director,producer,actor",1943,alive,6.6,95681,5.437358298,60000000,43313890,82812456
Star Trek: Nemesis,13-12-2002,"Action,Adventure,Sci-Fi",116,Stuart Baird,"editor,editorial_department,director",1947,alive,6.4,80531,5.187425807,60000000,43254409,67312826
Reign of Fire,19-02-2002,"Action,Adventure,Fantasy",101,Rob Bowman,"producer,director,actor",1960,alive,6.2,138817,5.2695878,60000000,43061982,82150183
Planet 51,20-11-2009,"Adventure,Animation,Comedy",91,-,-,-,-,6,56236,4.69645407,60000000,42194060,108996113
Duplicity,20-03-2009,"Comedy,Crime,Romance",125,Tony Gilroy,"producer,writer,director",1956,alive,6.1,51109,4.734020963,60000000,40572825,81079566
Righteous Kill,12/9/2008,"Crime,Mystery,Thriller",101,Jon Avnet,"producer,director,writer",1949,alive,6,89338,4.900788217,60000000,40081410,78481410
Invictus,11/12/2009,"Action,Biography,Drama",134,Clint Eastwood,"actor,producer,director",1930,alive,7.3,161755,6.310040118,60000000,37491364,124514011
State of Play,17-04-2009,"Crime,Drama,Mystery",127,Kevin Macdonald,"director,producer,writer",1967,alive,7.1,154384,6.109186688,60000000,37017955,88832210
My Favorite Martian,12/2/1999,"Comedy,Family,Sci-Fi",94,Donald Petrie,"director,actor,producer",1954,alive,5.1,13871,3.446976693,60000000,36850101,36850101
The Sentinel,21-04-2006,"Action,Crime,Thriller",108,Clark Johnson,"actor,director,producer",1954,alive,6.1,50183,4.725814829,60000000,36280697,78080697
Trouble with the Curve,21-09-2012,"Drama,Sport",111,Robert Lorenz,"assistant_director,producer,director",\N,alive,6.8,65381,5.415609226,60000000,35763137,47818913
Intolerable Cruelty,10/10/2003,"Comedy,Crime,Romance",100,-,-,-,-,6.3,98815,5.199152625,60000000,35327628,121327628
The Relic,10/1/1997,"Horror,Mystery,Sci-Fi",110,Peter Hyams,"director,cinematographer,writer",1943,alive,5.8,28502,4.245509129,60000000,33956608,33956608
Mercury Rising,3/4/1998,"Action,Crime,Drama",111,Harold Becker,"director,producer,cinematographer",1928,alive,6.1,75380,4.908419432,60000000,32983332,32983332
Almost Famous,15-09-2000,"Adventure,Comedy,Drama",122,Cameron Crowe,"writer,producer,director",1957,alive,7.9,279876,7.158183448,60000000,32522352,47371191
Cold Pursuit,7/2/2019,"Action,Comedy,Crime",119,Hans Petter Moland,"director,writer,actor",1955,alive,6.2,71159,4.96475983,60000000,32138862,62599159
Analyze That,6/12/2002,"Comedy,Crime",96,Harold Ramis,"writer,actor,producer",1944,2014,5.9,87062,4.805708877,60000000,32122249,54994757
The Soloist,24-04-2009,"Biography,Drama,Music",117,Joe Wright,"director,producer,miscellaneous",1972,alive,6.7,54175,5.241348073,60000000,31853584,38522450
The Mortal Instruments: City of Bones,21-08-2013,"Action,Adventure,Fantasy",130,Harald Zwart,"director,producer,writer",1965,alive,5.8,135645,4.911245167,60000000,31165421,75965567
The Legend of Bagger Vance,3/11/2000,"Drama,Fantasy,Sport",126,Robert Redford,"producer,actor,director",1936,alive,6.7,57820,5.273446811,60000000,30695227,39235486
Dragonfly,22-02-2002,"Drama,Fantasy,Mystery",104,Tom Shadyac,"producer,director,actor",1958,alive,6.1,38988,4.612525605,60000000,30063805,30317425
Priest,13-05-2011,"Action,Fantasy,Horror",87,Scott Stewart,"producer,writer,visual_effects",\N,alive,5.7,121101,4.776731319,60000000,29136626,84154026
Garfield: A Tail of Two Kitties,16-06-2006,"Adventure,Animation,Comedy",82,-,-,-,-,5,44239,3.803468387,60000000,28426747,147985373
Event Horizon,15-08-1997,"Horror,Sci-Fi,Thriller",96,Paul W.S. Anderson,"writer,director,producer",1965,alive,6.6,184403,5.755959463,60000000,26673242,26673954
Sinbad: Legend of the Seven Seas,2/7/2003,"Adventure,Animation,Comedy",88,-,-,-,-,6.7,55835,5.256226072,60000000,26483452,80767884
Dark Water,8/7/2005,"Drama,Horror,Mystery",105,Walter Salles,"director,producer,writer",1956,alive,5.6,63700,4.425917607,60000000,25473093,49473093
The Avengers,14-08-1998,"Action,Adventure,Sci-Fi",89,Jeremiah S. Chechik,"director,producer,actor",1955,alive,3.8,44292,2.859331797,60000000,23385416,48585416
The Black Dahlia,15-09-2006,"Crime,Drama,Mystery",121,Brian De Palma,"director,writer,producer",1940,alive,5.6,75029,4.493361309,60000000,22672813,49238525
The Spirit,25-12-2008,"Action,Crime,Fantasy",103,Frank Miller,"writer,producer,actor",1957,alive,4.7,61760,3.682727415,60000000,19806188,39006188
The Last Castle,19-10-2001,"Action,Drama,Thriller",131,Rod Lurie,"writer,director,producer",1962,alive,6.9,81777,5.610787229,60000000,18208078,20541668
Monster Hunter,18-02-2020,"Action,Adventure,Fantasy",103,Paul W.S. Anderson,"writer,director,producer",1965,alive,5.2,61026,4.083957061,60000000,15162470,47853893
Supernova,14-01-2000,"Horror,Sci-Fi,Thriller",90,-,-,-,-,4.8,18401,3.336263519,60000000,14218868,14816494
Flyboys,22-09-2006,"Action,Drama,History",140,Tony Bill,"actor,director,producer",1940,alive,6.5,43296,4.973753208,60000000,13090630,14816379
Holy Man,9/10/1998,"Comedy,Drama",114,Stephen Herek,"producer,director,editorial_department",1958,alive,4.9,20355,3.444899485,60000000,12069719,12069719
Meet Dave,11/7/2008,"Adventure,Comedy,Family",90,Brian Robbins,"producer,actor,writer",1963,alive,5.1,41931,3.862068845,60000000,11803254,50648806
Nightmare Alley,17-12-2021,"Crime,Drama,Thriller",150,Guillermo del Toro,"writer,producer,director",1964,alive,7,147289,5.997054976,60000000,11338107,37537773
The Great Raid,12/8/2005,"Action,Drama,War",132,John Dahl,"director,art_department,writer",1956,alive,6.6,23355,4.752567123,60000000,10166502,10597070
Rock Dog,2/7/2016,"Adventure,Animation,Comedy",90,Ash Brannon,"writer,producer,animation_department",1969,alive,5.9,5596,3.61431072,60000000,9420546,24148488
Mortdecai,21-01-2015,"Action,Adventure,Comedy",107,David Koepp,"writer,miscellaneous,director",1963,alive,5.5,74094,4.405694092,60000000,7696134,30396134
The SpongeBob Movie: Sponge on the Run,31-07-2020,"Adventure,Animation,Comedy",91,Tim Hill,"writer,producer,director",1958,alive,5.9,19073,4.146605053,60000000,4810790,4810790
Beyond Borders,24-10-2003,"Adventure,Drama,Romance",127,Martin Campbell,"director,producer,actor",1943,alive,6.4,28589,4.699772334,60000000,4426297,11427090
The Informer,30-08-2019,"Action,Crime,Drama",113,Andrea Di Stefano,"actor,writer,director",1972,alive,6.6,38628,4.99690249,60000000,300460,2366073
Sherlock Gnomes,15-03-2018,"Adventure,Animation,Comedy",86,John Stevenson,"art_department,animation_department,director",\N,alive,5.2,12951,3.490893188,59000000,43242871,97459106
The Kid Who Would Be King,18-01-2019,"Action,Adventure,Family",120,Joe Cornish,"writer,director,editor",1968,alive,6.1,17437,4.251387899,59000000,16790790,28296983
Deadpool,9/2/2016,"Action,Comedy",108,Tim Miller,"producer,writer,director",1964,alive,8,1046884,8.026959986,58000000,363070709,781947691
American Sniper,25-12-2014,"Action,Biography,Drama",133,Clint Eastwood,"actor,producer,director",1930,alive,7.3,494117,6.909812043,58000000,350126372,547326372
Goosebumps,14-10-2015,"Adventure,Comedy,Fantasy",103,Rob Letterman,"writer,director,producer",\N,alive,6.3,90570,5.158767533,58000000,80069458,158952243
Rambo III,25-05-1988,"Action,Adventure,Thriller",102,Peter MacDonald,"camera_department,assistant_director,director",1939,alive,5.8,133625,4.904842508,58000000,53715611,188715611
Sabrina,15-12-1995,"Comedy,Drama,Romance",127,Sydney Pollack,"director,producer,actor",1934,2008,6.3,42130,4.804004112,58000000,53458319,87100000
Red Tails,20-01-2012,"Action,Drama,History",125,Anthony Hemingway,"director,producer,assistant_director",\N,alive,5.9,36077,4.423288087,58000000,49876377,50365498
Just Like Heaven,16-09-2005,"Comedy,Drama,Fantasy",95,Mark Waters,"writer,miscellaneous",1964,alive,6.7,112416,5.601197332,58000000,48318130,100687083
The Internship,7/6/2013,Comedy,119,Shawn Levy,"producer,director,actor",1968,alive,6.3,207070,5.542070494,58000000,44672764,93672764
The Flintstones in Viva Rock Vegas,28-04-2000,"Comedy,Family,Romance",90,Brian Levant,"producer,writer,director",1952,alive,3.7,24115,2.615110665,58000000,35231365,59431365
Leatherheads,4/4/2008,"Comedy,Drama,Romance",114,George Clooney,"actor,producer,director",1961,alive,6,32682,4.456864423,58000000,31373938,41348628
Life,22-03-2017,"Horror,Sci-Fi,Thriller",104,Daniel Espinosa,"director,producer,writer",1977,alive,6.6,235296,5.87430918,58000000,30234022,101815660
Did You Hear About the Morgans?,18-12-2009,"Comedy,Drama,Romance",103,Marc Lawrence,"writer,producer,miscellaneous",1959,alive,4.9,41208,3.699174916,58000000,29580087,80480566
Sex and the City,30-05-2008,"Comedy,Drama,Romance",145,Michael Patrick King,"writer,producer,director",1954,alive,5.7,123476,4.784876437,57500000,152647258,415247258
Resident Evil: Afterlife,10/9/2010,"Action,Horror,Sci-Fi",96,Paul W.S. Anderson,"writer,director,producer",1965,alive,5.8,173664,5.01668351,57500000,60128566,295874190
After the Sunset,12/11/2004,"Action,Comedy,Crime",97,Brett Ratner,"producer,director,music_department",1969,alive,6.2,48307,4.788068493,57000000,28328132,38329114
Captain Corelli's Mandolin,17-08-2001,"Drama,Music,Romance",131,John Madden,"director,producer,writer",1949,alive,5.9,34880,4.408640943,57000000,25528495,62097495
Into the Woods,25-12-2014,"Adventure,Comedy,Drama",125,Rob Marshall,"director,miscellaneous,producer",1960,alive,5.9,143090,5.021389451,56200000,128002372,212416317
Anger Management,11/4/2003,Comedy,106,Peter Segal,"director,producer,writer",1962,alive,6.2,218856,5.477260594,56000000,135560942,195484552
The Pacifier,4/3/2005,"Action,Comedy,Drama",95,Adam Shankman,"producer,miscellaneous,director",1964,alive,5.6,96191,4.595732384,56000000,113006880,198006880
Walking Tall,2/4/2004,"Action,Crime",86,Kevin Bray,"director,producer,actor",\N,alive,6.2,78196,5.007777015,56000000,46213824,47856383
Joker,2/10/2019,"Crime,Drama,Thriller",122,Todd Phillips,"producer,director,writer",1970,alive,8.4,1304293,8.570769177,55000000,335451311,1069121583
Forrest Gump,6/7/1994,"Drama,Romance",142,Robert Zemeckis,"producer,writer,director",1952,alive,8.8,2093927,9.291673705,55000000,330151138,679835137
Alvin and the Chipmunks,14-12-2007,"Adventure,Animation,Comedy",92,Tim Hill,"writer,producer,director",1958,alive,5.2,88062,4.224268728,55000000,217326974,362605033
Bohemian Rhapsody,24-10-2018,"Biography,Drama,Music",134,Bryan Singer,"producer,director,actor",1965,alive,7.9,545540,7.546122342,55000000,216303339,882205260
Hitch,11/2/2005,"Comedy,Romance",118,Andy Tennant,"producer,director,writer",1955,alive,6.6,321486,6.025868291,55000000,177784257,366784257
Meet the Parents,6/10/2000,"Comedy,Romance",108,Jay Roach,"producer,director,writer",1957,alive,7,339691,6.427430901,55000000,166225040,330425040
The Pursuit of Happyness,15-12-2006,"Biography,Drama",117,Gabriele Muccino,"director,writer,producer",1967,alive,8,519243,7.614232278,55000000,162586036,307311093
Pocahontas,10/6/1995,"Adventure,Animation,Drama",81,-,-,-,-,6.7,190807,5.861997238,55000000,141579773,347100000
Superman,15-12-1978,"Action,Adventure,Sci-Fi",143,Richard Donner,"director,producer,actor",1930,2021,7.4,177696,6.449459043,55000000,134218018,300200000
The Nutty Professor,28-06-1996,"Comedy,Romance,Sci-Fi",95,Tom Shadyac,"producer,director,actor",1958,alive,5.7,119079,4.769669928,55000000,128814019,273814019
Fifty Shades Darker,8/2/2017,"Drama,Romance,Thriller",118,James Foley,"director,writer,producer",1953,alive,4.6,104634,3.779999361,55000000,114434010,381367046
Captain Phillips,11/10/2013,"Action,Biography,Crime",134,Paul Greengrass,"director,producer,writer",1955,alive,7.8,466275,7.358832711,55000000,107136417,220648184
American Wedding,1/8/2003,Comedy,96,Jesse Dylan,"director,producer,writer",1966,alive,6.3,209071,5.546528198,55000000,104354205,232354205
Murder on the Orient Express,3/11/2017,"Crime,Drama,Mystery",114,Kenneth Branagh,"actor,producer,director",1960,alive,6.5,263446,5.837349967,55000000,102826543,351767147
The Equalizer,26-09-2014,"Action,Crime,Thriller",132,Antoine Fuqua,"director,producer,actor",1965,alive,7.2,377097,6.670178251,55000000,101530738,192903624
Fifty Shades Freed,7/2/2018,"Drama,Romance,Thriller",105,James Foley,"director,writer,producer",1953,alive,4.5,67603,3.550335047,55000000,100407760,371985018
Casper,26-05-1995,"Comedy,Family,Fantasy",100,Brad Silberling,"producer,director,writer",1963,alive,6.1,137614,5.178561816,55000000,100328194,282300000
Date Night,9/4/2010,"Comedy,Crime,Romance",88,Shawn Levy,"producer,director,actor",1968,alive,6.3,164986,5.436759767,55000000,98711404,152269033
Maid in Manhattan,13-12-2002,"Comedy,Drama,Romance",105,Wayne Wang,"director,producer,writer",1949,alive,5.3,91637,4.32355743,55000000,93932896,163838217
Crimson Tide,12/5/1995,"Action,Drama,Thriller",116,Tony Scott,"producer,director,actor",1944,2012,7.3,115328,6.128338396,55000000,91387195,159387195
Flightplan,23-09-2005,"Drama,Mystery,Thriller",98,Robert Schwentke,"director,writer,soundtrack",1968,alive,6.3,164806,5.436253787,55000000,89706988,214392904
Disclosure,9/12/1994,"Drama,Thriller",128,Barry Levinson,"producer,writer,director",1942,alive,6.1,51484,4.737301963,55000000,83015089,212200000
City of Angels,10/4/1998,"Drama,Fantasy,Romance",114,Brad Silberling,"producer,director,writer",1963,alive,6.7,122592,5.64391443,55000000,78750909,198750909
Paddington,28-11-2014,"Adventure,Comedy,Family",95,Paul King,"director,writer,assistant_director",\N,alive,7.3,120407,6.151485947,55000000,76223578,252410984
Stargate,28-10-1994,"Action,Adventure,Sci-Fi",116,Roland Emmerich,"writer,producer,director",1955,alive,7,194058,6.139078685,55000000,71565669,196565669
Bowfinger,13-08-1999,Comedy,97,Frank Oz,"actor,miscellaneous,soundtrack",1944,alive,6.5,71581,5.214196719,55000000,66458769,98699769
Tango & Cash,22-12-1989,"Action,Comedy,Crime",104,-,-,-,-,6.4,107883,5.325113705,55000000,63408614,63408614
Death Becomes Her,31-07-1992,"Comedy,Fantasy,Horror",104,Robert Zemeckis,"producer,writer,director",1952,alive,6.6,122273,5.556444077,55000000,58422650,149022650
Shanghai Noon,26-05-2000,"Action,Adventure,Comedy",110,Tom Dey,"director,producer,executive",1965,alive,6.6,129543,5.584490442,55000000,56932305,71189835
Executive Decision,15-03-1996,"Action,Adventure,Thriller",133,Stuart Baird,"editor,editorial_department,director",1947,alive,6.5,58839,5.120450196,55000000,56679192,122079192
Free Birds,31-10-2013,"Adventure,Animation,Comedy",91,Jimmy Hayward,"animation_department,actor,director",\N,alive,5.8,24808,4.186274786,55000000,55750480,110387072
The Forbidden Kingdom,18-04-2008,"Action,Adventure,Fantasy",104,Rob Minkoff,"producer,director,animation_department",1962,alive,6.5,106841,5.405736864,55000000,52075270,129075270
The Phantom of the Opera,8/12/2004,"Drama,Musical,Romance",143,Joel Schumacher,"director,writer,producer",1939,2020,7.2,124956,6.085058048,55000000,51225796,153770052
Muppets Most Wanted,21-03-2014,"Adventure,Comedy,Crime",107,James Bobin,"writer,director,producer",1972,alive,6.4,35329,4.799449346,55000000,51178893,79312301
Evita,20-12-1996,"Biography,Drama,History",135,Alan Parker,"director,writer,soundtrack",1944,2020,6.3,36318,4.735195687,55000000,50047179,151947179
Kubo and the Two Strings,18-08-2016,"Action,Adventure,Animation",101,Travis Knight,"animation_department,producer,director",1973,alive,7.7,131303,6.544855489,55000000,48023088,77548122
Mortal Kombat,8/4/2021,"Action,Adventure,Fantasy",110,Simon McQuoid,"director,producer",\N,alive,6,176605,5.201631789,55000000,42326031,83508259
Ronin,25-09-1998,"Action,Crime,Thriller",122,John Frankenheimer,"director,miscellaneous,producer",1930,2002,7.2,186375,6.296847902,55000000,41610884,70692101
Burlesque,24-11-2010,"Drama,Music,Musical",119,Steve Antin,"actor,writer,producer",1958,alive,6.4,87558,5.226819317,55000000,39440655,90552675
Burlesque,24-11-2010,Drama,90,Dominic Deacon,"director,writer,editor",\N,alive,7,70,2.05625528,55000000,39440655,90552675
The Ghost and the Darkness,11/10/1996,"Adventure,Drama,Thriller",110,Stephen Hopkins,"producer,director,miscellaneous",1958,alive,6.8,63312,5.399520831,55000000,38564422,38564422
